CRUISE_PLAN,LAST_DATE_UPDATED,SHIP_NAME,WATER_BODY,CSN,LATITUDE,LONGITUDE,PSN,SOUNDING,STN_DATE,CODE,DEPTH_FROM,DEPTH_TO,DETECTION,FLAG,SEQ_NO,VALUE,ABBREV,FULL_NAME,UNITS,LATITUDE_DD,LONGITUDE_DD
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,1,430525,-822328,1,11.12,2015-05-25 18:34:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.09028,-82.39111
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,1,430525,-822328,1,11.12,2015-05-25 18:34:00,6,8.50,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.09028,-82.39111
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,2,432032,-823020,7,11.03,2015-05-25 21:19:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.34222,-82.50556
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,3,433400,-822902,8,30.16,2015-05-25 23:07:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.56667,-82.48389
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,4,433759,-821259,9,59.04,2015-05-26 00:46:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.63306,-82.21639
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,4,433759,-821259,9,59.04,2015-05-26 00:46:00,6,49.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.63306,-82.21639
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,4,433759,-821259,9,59.04,2015-05-26 00:46:00,6,57.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.63306,-82.21639
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,5,434514,-823404,13,17.18,2015-05-26 03:33:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.75389,-82.56778
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,5,434514,-823404,13,17.18,2015-05-26 03:33:00,6,1.00,.00,0.00000000,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.75389,-82.56778
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,6,435631,-823959,14,12.96,2015-05-26 05:23:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.94194,-82.66639
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,7,441154,-823012,27,55.26,2015-05-26 07:45:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.19833,-82.50333
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,8,442712,-822037,32,80.36,2015-05-26 09:50:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.45333,-82.34361
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,9,443000,-825057,33,61.2,2015-05-26 13:14:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.50000,-82.84917
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,10,440601,-825159,17,15.12,2015-05-26 16:34:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.10028,-82.86639
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,10,440601,-825159,17,15.12,2015-05-26 16:34:00,6,1.00,.00,0.00000000,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.10028,-82.86639
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,10,440601,-825159,17,15.12,2015-05-26 16:34:00,6,5.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.10028,-82.86639
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,10,440601,-825159,17,15.12,2015-05-26 16:34:00,6,9.00,.00,0.00000000,,0,2.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.10028,-82.86639
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,10,440601,-825159,17,15.12,2015-05-26 16:34:00,6,11.50,.00,0.00000000,,0,3.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.10028,-82.86639
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,10,440601,-825159,17,15.12,2015-05-26 16:34:00,6,13.00,.00,0.00000000,,0,3.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.10028,-82.86639
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,11,441300,-830502,20,45.99,2015-05-26 18:48:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.21667,-83.08389
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,12,442002,-831756,23,9.5,2015-05-26 20:26:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.33389,-83.29889
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,13,443824,-831355,34,10.02,2015-05-26 22:52:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.64000,-83.23194
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,14,450223,-832250,36,9.13,2015-05-27 02:15:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.03972,-83.38056
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,14,450223,-832250,36,9.13,2015-05-27 02:15:00,6,7.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.03972,-83.38056
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,15,450101,-824106,44,170.88,2015-05-27 06:57:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.01694,-82.68500
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,15,450101,-824106,44,170.88,2015-05-27 06:57:00,6,1.00,.00,0.00000000,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.01694,-82.68500
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,15,450101,-824106,44,170.88,2015-05-27 06:57:00,6,50.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.01694,-82.68500
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,15,450101,-824106,44,170.88,2015-05-27 06:57:00,6,100.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.01694,-82.68500
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,15,450101,-824106,44,170.88,2015-05-27 06:57:00,6,154.50,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.01694,-82.68500
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,15,450101,-824106,44,170.88,2015-05-27 06:57:00,6,162.50,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.01694,-82.68500
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,16,451520,-832048,47,24.31,2015-05-27 11:42:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.25556,-83.34667
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,17,453100,-832457,54,141.15,2015-05-27 13:37:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.51667,-83.41583
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,17,453100,-832457,54,141.15,2015-05-27 13:37:00,6,50.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.51667,-83.41583
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,17,453100,-832457,54,141.15,2015-05-27 13:37:00,6,100.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.51667,-83.41583
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,17,453100,-832457,54,141.15,2015-05-27 13:37:00,6,130.50,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.51667,-83.41583
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,17,453100,-832457,54,141.15,2015-05-27 13:37:00,6,138.50,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.51667,-83.41583
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,18,454502,-835456,61,116.59,2015-05-27 17:04:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.75056,-83.91556
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,19,455605,-835358,67,32.93,2015-05-27 18:39:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.93472,-83.89944
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,19,455605,-835358,67,32.93,2015-05-27 18:39:00,6,7.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.93472,-83.89944
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,19,455605,-835358,67,32.93,2015-05-27 18:39:00,6,11.50,.00,0.00000000,,0,2.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.93472,-83.89944
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,19,455605,-835358,67,32.93,2015-05-27 18:39:00,6,16.00,.00,0.00000000,,0,3.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.93472,-83.89944
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,19,455605,-835358,67,32.93,2015-05-27 18:39:00,6,21.50,.00,0.00000000,,0,3.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.93472,-83.89944
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,19,455605,-835358,67,32.93,2015-05-27 18:39:00,6,29.50,.00,0.00000000,,0,3.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.93472,-83.89944
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,20,455407,-833103,60,25,2015-05-27 21:17:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.90194,-83.51750
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,20,455407,-833103,60,25,2015-05-27 21:17:00,6,1.00,.00,0.00000000,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.90194,-83.51750
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,21,455158,-831555,58,15.8,2015-05-27 23:14:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.86611,-83.26528
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,22,454558,-830142,59,18.42,2015-05-28 00:48:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.76611,-83.02833
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,23,453908,-823852,52,64.8,2015-05-28 03:15:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.65222,-82.64778
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,24,451640,-822702,48,110.56,2015-05-28 06:15:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.27778,-82.45056
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,25,453205,-820243,50,28.64,2015-05-28 09:07:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.53472,-82.04528
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,25,453205,-820243,50,28.64,2015-05-28 09:07:00,6,1.00,.00,0.00000000,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.53472,-82.04528
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,26,451318,-814916,42,44.04,2015-05-28 12:59:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.22167,-81.82111
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,27,450050,-820026,43,184.68,2015-05-28 14:59:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.01389,-82.00722
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,28,450458,-813211,41,22.6,2015-05-28 17:35:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.08278,-81.53639
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,29,445354,-812613,40,18.82,2015-05-28 19:11:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.89833,-81.43694
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,30,443924,-812241,39,26.43,2015-05-28 21:00:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.65667,-81.37806
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,30,443924,-812241,39,26.43,2015-05-28 21:00:00,6,1.00,.00,0.00000000,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.65667,-81.37806
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,31,442803,-812711,30,20.69,2015-05-28 22:34:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.46750,-81.45306
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,32,442202,-815000,29,124.65,2015-05-29 00:41:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.36722,-81.83333
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,32,442202,-815000,29,124.65,2015-05-29 00:41:00,6,50.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.36722,-81.83333
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,32,442202,-815000,29,124.65,2015-05-29 00:41:00,6,114.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.36722,-81.83333
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,32,442202,-815000,29,124.65,2015-05-29 00:41:00,6,122.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.36722,-81.83333
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,33,435725,-814712,11,10.47,2015-05-29 03:49:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.95694,-81.78667
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,34,435325,-820323,12,87.49,2015-05-29 05:25:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.89028,-82.05639
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,35,434513,-814656,10,12.25,2015-05-29 07:15:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.75361,-81.78222
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,35,434513,-814656,10,12.25,2015-05-29 07:15:00,6,1.00,.00,0.00000000,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.75361,-81.78222
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,36,433256,-814443,5,11.67,2015-05-29 09:00:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.54889,-81.74528
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,37,431932,-814718,4,10.35,2015-05-29 10:42:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.32556,-81.78833
201502001,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,38,431526,-820218,3,15.75,2015-05-29 12:13:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.25722,-82.03833
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,1,434512,-814654,10,12.38,2015-09-21 22:12:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.75333,-81.78167
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,2,433254,-814442,5,11.8,2015-09-21 23:48:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.54833,-81.74500
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,3,431929,-814720,4,10.23,2015-09-22 01:30:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.32472,-81.78889
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,4,431525,-820220,3,15.3,2015-09-22 03:01:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.25694,-82.03889
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,5,430522,-822335,1,10.82,2015-09-22 05:08:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.08944,-82.39306
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,5,430522,-822335,1,10.82,2015-09-22 05:08:00,6,1.00,.00,0.00000000,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.08944,-82.39306
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,5,430522,-822335,1,10.82,2015-09-22 05:08:00,6,9.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.08944,-82.39306
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,6,432029,-823026,7,10.88,2015-09-22 07:12:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.34139,-82.50722
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,7,433400,-822908,8,29.99,2015-09-22 08:46:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.56667,-82.48556
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,8,433800,-821259,9,58.99,2015-09-22 10:14:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.63333,-82.21639
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,8,433800,-821259,9,58.99,2015-09-22 10:14:00,6,17.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.63333,-82.21639
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,8,433800,-821259,9,58.99,2015-09-22 10:14:00,6,23.00,.00,0.00000000,,0,2.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.63333,-82.21639
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,8,433800,-821259,9,58.99,2015-09-22 10:14:00,6,35.00,.00,0.00000000,,0,3.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.63333,-82.21639
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,8,433800,-821259,9,58.99,2015-09-22 10:14:00,6,49.00,.00,0.00000000,,0,3.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.63333,-82.21639
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,8,433800,-821259,9,58.99,2015-09-22 10:14:00,6,57.00,.00,0.00000000,,0,3.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.63333,-82.21639
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,9,434513,-823407,13,17.11,2015-09-22 12:43:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.75361,-82.56861
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,10,435631,-824007,14,11.82,2015-09-22 14:13:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.94194,-82.66861
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,11,440601,-825158,17,15.42,2015-09-22 15:56:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.10028,-82.86611
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,11,440601,-825158,17,15.42,2015-09-22 15:56:00,6,1.00,.00,0.00000000,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.10028,-82.86611
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,11,440601,-825158,17,15.42,2015-09-22 15:56:00,6,5.50,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.10028,-82.86611
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,11,440601,-825158,17,15.42,2015-09-22 15:56:00,6,13.50,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.10028,-82.86611
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,12,441152,-823010,27,55.52,2015-09-22 18:19:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.19778,-82.50278
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,13,442710,-822031,32,83.1,2015-09-22 20:24:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.45278,-82.34194
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,14,443001,-825002,33,72.73,2015-09-22 22:57:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.50028,-82.83389
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,15,441302,-830505,20,45.9,2015-09-23 01:23:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.21722,-83.08472
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,15,441302,-830505,20,45.9,2015-09-23 01:23:00,6,1.00,.00,0.00000000,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.21722,-83.08472
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,16,441959,-831757,23,9.78,2015-09-23 02:55:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.33306,-83.29917
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,17,443824,-831356,34,9.27,2015-09-23 05:06:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.64000,-83.23222
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,18,450224,-832243,36,9.6,2015-09-23 08:05:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.04000,-83.37861
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,18,450224,-832243,36,9.6,2015-09-23 08:05:00,6,7.50,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.04000,-83.37861
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,19,450059,-824103,44,164.87,2015-09-23 11:40:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.01639,-82.68417
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,19,450059,-824103,44,164.87,2015-09-23 11:40:00,6,15.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.01639,-82.68417
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,19,450059,-824103,44,164.87,2015-09-23 11:40:00,6,21.00,.00,0.00000000,,0,2.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.01639,-82.68417
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,19,450059,-824103,44,164.87,2015-09-23 11:40:00,6,50.00,.00,0.00000000,,0,3.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.01639,-82.68417
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,19,450059,-824103,44,164.87,2015-09-23 11:40:00,6,100.00,.00,0.00000000,,0,3.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.01639,-82.68417
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,19,450059,-824103,44,164.87,2015-09-23 11:40:00,6,155.00,.00,0.00000000,,0,3.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.01639,-82.68417
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,19,450059,-824103,44,164.87,2015-09-23 11:40:00,6,163.00,.00,0.00000000,,0,3.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.01639,-82.68417
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,20,451518,-832049,47,23.83,2015-09-23 16:19:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.25500,-83.34694
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,20,451518,-832049,47,23.83,2015-09-23 16:19:00,6,1.00,.00,0.00000000,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.25500,-83.34694
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,21,453059,-832504,54,117.34,2015-09-23 18:21:00,6,1.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.51639,-83.41778
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,21,453059,-832504,54,117.34,2015-09-23 18:21:00,6,10.00,.00,0.00000000,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.51639,-83.41778
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,21,453059,-832504,54,117.34,2015-09-23 18:21:00,6,18.00,.00,0.00000000,,0,2.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.51639,-83.41778
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,21,453059,-832504,54,117.34,2015-09-23 18:21:00,6,30.00,.00,0.00000000,,0,3.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.51639,-83.41778
201502005,2015-10-09 11:21:45,CCGS LIMNOS,LAKE HURON,21,453059,-832504,54,117.34,2015-09-23 18:21:00,6,107.00,.00,0.00000000,,0,3.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.51639,-83.41778
